Product_ID,Product_Name,Water_2022_Blue_m3_per_crore,Water_2022_Green_m3_per_crore,Green_share_pct,Tourism_Demand_crore,Source_Group,Water_Multiplier_m3_per_crore,Total_Water_m3,Green_Water_m3,Water_pct,WSI_weight,Scarce_m3,Scarce_pct,Multiplier_Ratio
93,Machine tools,0.0,0.0,0.0,0.0,Manufacturing,1848.5749130829763,0.0,0.0,0.0,0.814,0.0,0.0,0.514684416394896
94,Other non electrical machinery,0.0,0.0,0.0,0.0,Manufacturing,2218.179478082188,0.0,0.0,0.0,0.814,0.0,0.0,0.6175905569506236
1,Paddy,190706.1702244379,594859.7708397808,75.72372219115238,0.0,Agriculture,199515.3698548821,0.0,0.0,0.0,0.827,0.0,0.0,55.54952140095527
92,Industrial machinery (except food and textile),0.0,0.0,0.0,0.0,Manufacturing,1615.6717693821502,0.0,0.0,0.0,0.814,0.0,0.0,0.4498389953390193
91,Industrial machinery for food and textile industry,0.0,0.0,0.0,0.0,Manufacturing,2066.176288631431,0.0,0.0,0.0,0.814,0.0,0.0,0.575269484486132
90,Tractors and other agricultural implements,0.0,0.0,0.0,0.0,Manufacturing,2044.8992988933833,0.0,0.0,0.0,0.814,0.0,0.0,0.5693454967870327
89,Miscellaneous metal products,8.642824858757061e-06,0.0,0.0,0.0,Manufacturing,2765.4227978269973,0.0,0.0,0.0,0.814,0.0,0.0,0.7699552821535237
88,"Hand tools, hardware",8.642824858757061e-06,0.0,0.0,0.0,Manufacturing,2603.5790904694722,0.0,0.0,0.0,0.814,0.0,0.0,0.7248943903936261
87,Non ferrous basic metals (including alloys),8.642824858757061e-06,0.0,0.0,0.0,Manufacturing,2128.021294054243,0.0,0.0,0.0,0.814,0.0,0.0,0.5924885110442136
85,Iron and steel casting and forging,0.0,0.0,0.0,0.0,Manufacturing,2617.0736770905096,0.0,0.0,0.0,0.814,0.0,0.0,0.7286515837810207
86,Iron and steel foundries,0.0,0.0,0.0,0.0,Manufacturing,2654.0783350482416,0.0,0.0,0.0,0.814,0.0,0.0,0.738954504506643
100,Other electrical machinery,0.0,0.0,0.0,0.0,Manufacturing,1713.4819094881004,0.0,0.0,0.0,0.814,0.0,0.0,0.47707151619692534
95,Electrical industrial machinery,0.0,0.0,0.0,0.0,Manufacturing,1649.7355076474146,0.0,0.0,0.0,0.814,0.0,0.0,0.459323098539385
111,Gems & jewellery,0.0,0.0,0.0,0.0,Manufacturing,698.5903540405103,0.0,0.0,0.0,0.814,0.0,0.0,0.19450310946219396
139,"Community, social and personal services",0.0,0.0,0.0,0.0,Services,201.10400046829352,0.0,0.0,0.0,0.0,0.0,0.0,0.055991831536370384
138,Human health and social care services,0.0,0.0,0.0,0.0,Services,353.89867842851214,0.0,0.0,0.0,0.0,0.0,0.0,0.09853327202527486
134,Other Business services,0.0,0.0,0.0,0.0,Services,505.0657793759036,0.0,0.0,0.0,0.0,0.0,0.0,0.14062155883398164
133,Legal services,0.0,0.0,0.0,0.0,Services,525.3288439337077,0.0,0.0,0.0,0.0,0.0,0.0,0.1462632471867205
130,Real estate services,0.0,0.0,0.0,0.0,Services,253.53788590275352,0.0,0.0,0.0,0.0,0.0,0.0,0.07059059274055889
129,Ownership of dwellings,0.0,0.0,0.0,0.0,Services,41.49543498784236,0.0,0.0,0.0,0.0,0.0,0.0,0.011553253042989525
128,Insurance services,0.0,0.0,0.0,0.0,Services,539.2301890070778,0.0,0.0,0.0,0.0,0.0,0.0,0.1501336911841775
121,Land transport,0.0,0.0,0.0,0.0,Services,1251.330636609243,0.0,0.0,0.0,0.0,0.0,0.0,0.3483983115113134
117,Trade,0.0,0.0,0.0,0.0,Services,4702.481585494838,0.0,0.0,0.0,0.0,0.0,0.0,1.3092755794254993
116,Water Supply,0.0,0.0,0.0,0.0,Electricity,7159.979302007921,0.0,0.0,0.0,0.814,0.0,0.0,1.993497662644126
115,Gas,0.0,0.0,0.0,0.0,Electricity,851.4708834834505,0.0,0.0,0.0,0.814,0.0,0.0,0.2370684529154676
113,Construction and construction services,0.0,0.0,0.0,0.0,Manufacturing,1145.962481388079,0.0,0.0,0.0,0.814,0.0,0.0,0.31906147095765314
112,Miscellaneous manufacturing,0.0,0.0,0.0,0.0,Manufacturing,4723.154485320643,0.0,0.0,0.0,0.814,0.0,0.0,1.3150313750422913
110,Other transport equipment,0.0,0.0,0.0,0.0,Manufacturing,2404.044223915144,0.0,0.0,0.0,0.814,0.0,0.0,0.6693394406774291
96,"Electrical cables, wires",0.0,0.0,0.0,0.0,Manufacturing,2124.910591099739,0.0,0.0,0.0,0.814,0.0,0.0,0.5916224220783917
109,Aircrafts & Spacecrafts,0.0,0.0,0.0,0.0,Manufacturing,2294.7895972050437,0.0,0.0,0.0,0.814,0.0,0.0,0.6389205199246049
108,"Bicycles, cycle-rickshaw",0.0,0.0,0.0,0.0,Manufacturing,2385.080182069368,0.0,0.0,0.0,0.814,0.0,0.0,0.6640594291719157
107,Motor cycles and scooters,0.0,0.0,0.0,0.0,Manufacturing,2186.700776173618,0.0,0.0,0.0,0.814,0.0,0.0,0.6088261854306938
106,Motor vehicles,0.0,0.0,0.0,0.0,Manufacturing,1558.6196078430248,0.0,0.0,0.0,0.814,0.0,0.0,0.4339544032361976
