Category_ID,Category_Name,Source_ID,Source_Name,Source_Group,Water_m3,WSI_weight,Scarce_m3,Water_pct,Scarce_pct
SERV_001,Hotels & Restaurants,72,Coal tar products,Petroleum,1538255.5768523254,0.814,1252140.0395577927,0.02856768774789301,0.02824563081039854
CHEM_M04,Other Chemicals,69,Rubber products,Manufacturing,1532410.3371377324,0.814,1247382.014430114,0.028459132976182213,0.028138299827523437
SERV_012,Health & Social Work,19,Vegetables,Agriculture,1531590.0126229518,0.827,1266624.940439181,0.02844389833316005,0.028572379536336096
SERV_006,Real Estate,66,"Paper, Paper products and newsprint",Manufacturing,1527521.3037003544,0.814,1243402.3412120885,0.028368336373374617,0.028048526817387863
FOOD_M06,Beverages,13,Coconut,Agriculture,1525943.433960067,0.827,1261955.2198849753,0.028339032991852274,0.028467040517859855
SERV_002,Railway Transport,114,Electricity,Electricity,1462901.9322359546,0.814,1190802.172840067,0.02716825879573467,0.026861978276918202
CHEM_M04,Other Chemicals,18,Fruits,Agriculture,1462175.6116805286,0.827,1209219.2308597972,0.02715476994567326,0.027277428150737987
SERV_006,Real Estate,70,Plastic products,Manufacturing,1461436.0877044904,0.814,1189608.975391455,0.027141035888506526,0.02683506226628627
WOOD_M03,Printing/Publishing,70,Plastic products,Manufacturing,1411695.0028246539,0.814,1149119.7322992682,0.02621727016161976,0.02592171058353178
FOOD_005,Tobacco Products,14,Tobacco,Agriculture,1411548.93686263,0.827,1167350.970785395,0.026214557500046164,0.026332968761712334
FOOD_M06,Beverages,3,Coarse cereals,Agriculture,1408724.6012407974,0.827,1165015.2452261394,0.02616210539822777,0.02628027973353906
TEXT_001,Ready Made Garments,66,"Paper, Paper products and newsprint",Manufacturing,1390249.895863058,0.814,1131663.4152325292,0.025819002715937775,0.025527932993486418
SERV_012,Health & Social Work,18,Fruits,Agriculture,1373910.0934034283,0.827,1136223.6472446353,0.025515548347526427,0.02563080218203916
FOOD_M06,Beverages,4,Gram,Agriculture,1310642.92797375,0.827,1083901.7014342912,0.024340583241670776,0.024450529754074486
TEXT_002,Leather Footwear,63,Leather footwear,Manufacturing,1304414.7792857543,0.814,1061793.6303386039,0.02422491728235718,0.023951818432360536
SERV_005,Financial Services,12,Sugarcane,Agriculture,1283412.9813284762,0.827,1061382.5355586498,0.023834882742443105,0.02394254500365781
SERV_012,Health & Social Work,9,Other oil seeds,Agriculture,1273311.2664843167,0.827,1053028.41738253,0.02364727891397091,0.02375409376793784
WOOD_M03,Printing/Publishing,2,Wheat,Agriculture,1273066.6482535203,0.827,1052826.1181056611,0.02364273599058419,0.023749530324147904
WOOD_M02,Paper Products,71,Petroleum products,Petroleum,1259723.5496108427,0.814,1025414.9693832259,0.023394934857047366,0.023131192788055484
FOOD_M04,Grain Mill & Bakery,114,Electricity,Electricity,1239061.2823012166,0.814,1008595.8837931902,0.023011205904884063,0.022751789792275223
